Country,Severe Wasting,Wasting in %,Overweight,Stunting,Underweight,Total
NIGERIA,4.379999999999999,12.045454545454547,4.890909090909092,39.46363636363637,26.681818181818183,47.99818181818182
NORTH MACEDONIA,0.6333333333333334,2.3,12.733333333333333,8.066666666666668,1.6666666666666667,17.333333333333332
OMAN,1.6800000000000002,7.783333333333334,3.5500000000000003,16.066666666666666,11.916666666666664,24.93
PAKISTAN,4.5,14.314285714285711,4.757142857142857,46.67142857142858,33.737500000000004,57.30892857142857
PANAMA,0.3333333333333333,1.366666666666667,9.066666666666666,19.83333333333333,4.733333333333333,15.5
PAPUA NEW GUINEA,2.8000000000000003,8.0,6.7333333333333325,46.46666666666667,22.9,40.43333333333333
PARAGUAY,0.3333333333333333,1.3250000000000002,9.275,13.025,2.525,13.458333333333334
PERU,0.21333333333333335,0.7933333333333332,8.940000000000003,21.860000000000007,4.320000000000001,14.26666666666667
PHILIPPINES (THE),1.92,7.127272727272726,3.1,36.27272727272728,24.14545454545454,36.29272727272727
POLAND,,,,2.75,,
QATAR,,2.1,10.4,11.6,4.8,
REPUBLIC OF KOREA (THE),0.15000000000000002,1.05,6.75,2.5,0.8,8.75
REPUBLIC OF MOLDOVA (THE),1.45,3.85,6.9,8.55,2.7,14.899999999999999
ROMANIA,0.9000000000000001,3.72,8.080000000000002,13.22,3.88,16.580000000000002
RWANDA,1.425,4.866666666666666,6.314285714285715,46.31111111111111,15.888888888888891,28.494841269841274
SAINT LUCIA,0.7,3.7,6.3,2.5,2.8,13.5
SAMOA,1.3,2.6,5.75,5.65,2.45,12.100000000000001
SAO TOME AND PRINCIPE,2.333333333333333,7.0200000000000005,9.55,28.880000000000006,11.26,30.163333333333334
SAUDI ARABIA,4.5,7.35,3.65,15.35,9.4,24.9
SENEGAL,1.825,8.27142857142857,2.115384615384615,22.735714285714288,16.3,28.511813186813185
SERBIA,1.2333333333333334,3.966666666666667,16.266666666666666,6.9,1.7333333333333334,23.2
SEYCHELLES,1.2,3.5,8.0,7.800000000000002,4.3,17.0
SIERRA LEONE,3.075,8.610000000000001,6.237500000000002,37.2,20.39,38.3125
SINGAPORE,0.5,3.6,2.6,4.4,3.3,10.0
SOLOMON ISLANDS,2.333333333333333,6.7333333333333325,2.966666666666667,32.73333333333333,14.666666666666664,26.699999999999996
SOMALIA,4.35,15.633333333333335,3.85,32.166666666666664,26.03333333333333,49.86666666666667
SOUTH AFRICA,2.92,5.371428571428572,13.614285714285714,29.07142857142857,9.714285714285717,31.620000000000005
SOUTH SUDAN,11.4,23.65,8.45,33.75,30.1,73.6
SRI LANKA,2.45,15.7625,1.05,21.8625,26.0,45.2625
STATE OF PALESTINE,0.8499999999999999,3.733333333333334,7.58,11.550000000000002,2.92,15.083333333333334
SUDAN (THE),4.766666666666667,15.4,2.9,36.86666666666667,29.93333333333333,53.0
SURINAME,1.2666666666666666,5.633333333333333,3.633333333333333,11.166666666666664,8.133333333333335,18.666666666666664
